District,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Percentage of Population with Comorbidities Risk in the Household,Average Total Risk Score
Sahibganj,4.601817883,4.719916065,0.549604691,1.576087732,0.388284982,8.974897936
Samastipur,4.436443195,4.55901501,0.534513738,2.557415341,0.425874725,10.14973338
Sangli,3.016007185,1.965723564,0.066718029,2.306380164,0.484600914,9.055311667
Sant Kabir Nagar,4.580713257,3.615699813,0.420581903,3.633383773,0.460399478,11.73030058
Sant Ravi Das Nagar(bhadohi),4.838425153,2.822269035,0.266881645,2.605775885,0.436021804,10.67345949
Saran (chhapra),4.231282841,3.719225048,0.401108001,3.262654043,0.473325548,11.20313015
Satara,2.758685595,2.073622455,0.068462523,2.725094239,0.540395158,9.678610852
Satna,3.57154712,4.054012791,0.451151103,3.418047819,0.349060958,9.377204686
Seoni,3.719762989,4.060870838,0.394512248,4.064785064,0.370117749,10.59476973
Shahjahanpur,4.039460544,3.408726907,0.476661541,2.586534485,0.320397722,8.711476766
Sheikhpura,4.088248117,3.686241291,0.502283211,1.882959876,0.416106052,9.016801802
Sheohar,3.964086987,4.820618769,0.444176948,2.941420772,0.436618138,10.11856817
Shimoga,2.319395702,2.289009249,0.053772834,1.33802617,0.463163041,7.138864057
Shivpuri,3.812175625,3.587656907,0.383387965,2.008995245,0.302361965,7.787722902
Shrawasti,4.626016518,4.795785317,0.602615948,3.319795822,0.352635996,10.42880096
Siddharth Nagar,4.61285203,3.871975372,0.442549022,3.265165329,0.484992254,11.65181132
Sindhudurg,1.961280581,2.370923915,0.072189492,1.624264097,0.56384549,8.030654208
Singrauli,3.039347121,1.988065036,0.148205694,3.083440109,0.399455108,8.91786624
Sirmaur,4,3,0.417787135,1,0.508114815,9
Sitamarhi,4.201097981,4.718940454,0.506350985,3.707309392,0.405640754,10.87279588
Sitapur,4.232490634,4.142583239,0.529384359,2.643383586,0.340616929,9.128768655
Siwan,4.149048235,3.541784509,0.372027771,3.060378243,0.487334874,11.02250931
Solapur,3.395027933,2.009297141,0.082690668,2.331380577,0.472520423,9.353012129
Sonbhadra,3.431485116,3.648593702,0.332459971,4.339561646,0.352263733,10.19678206
Sonipat,3.142665832,1.533630262,0.127601113,1.08339108,0.442898903,7.576501136
South,3.014542536,1.866476422,0.033618639,3.179827475,0.402254449,9.116714597
South Goa,1.187123418,2.273339652,0.091127992,1.529009546,0.512079195,6.683772256
South West,3.021642005,1.82140553,0.032473478,2.862338069,0.396729136,8.737130921
Sultanpur,4.273630357,3.730314376,0.403897557,3.77773205,0.446861273,11.38949853
Supaul,4.34376912,4.71672355,0.586403114,3.536014895,0.380498793,10.63687139
Surguja,3.034976079,5,0.545913332,4.945654698,0.293795006,9.700125412
Thane,3.089459321,1.820122604,0.067103214,3.391772336,0.368106883,9.050143229
The Dangs,3.400841647,3.184207066,0.293143853,2.690510285,0.494491141,9.895877245
The Nilgiris,2.082419581,3.185158239,0.234626352,1.446655927,0.434271921,6.539884633
Tikamgarh,3.598493942,3.302846648,0.340853661,2.402585704,0.309158158,8.000163411
Tumkur,2.937411709,2.374130312,0.058063223,1.687834399,0.444789651,7.966097064
Udham Singh Nagar,3.715896737,2.359766148,0.341618875,1.376505491,0.387565587,7.913660902
Udupi,2.454798632,1.571442948,0.031080938,1.566654342,0.541112127,8.19881216
Unnao,4.066014596,3.644585556,0.440933872,2.549221555,0.35067748,8.982299063
Uttar Dinajpur,3.935738535,3.608984723,0.522335684,3.448134349,0.309807203,9.418517075
Uttara Kannada,2.271775599,2.138636595,0.059210739,1.263958185,0.497905564,7.357738981
Vadodara,3.956927846,4.477913285,0.39440815,3.334339438,0.412376848,10.29126728
Vaishali,4.14338588,3.992908322,0.435058441,2.949249084,0.464114443,10.681191
Valsad,3.344140585,2.712823848,0.170727818,2.708234735,0.436389753,9.339374841
Varanasi,4.149819633,2.032272162,0.166222197,2.821779009,0.488851066,10.68879
Wardha,2.626008679,2.453556477,0.108597012,3.593433174,0.440239036,9.49323815
Washim,3.429043365,2.708649119,0.14069911,3.970549155,0.502799695,11.31292489
Wayanad,2.140688087,3.291515856,0.213617246,2.808914035,0.49749554,8.800734343
West,3.007953817,2.118038246,0.013796906,2.528562645,0.437099059,8.798402617
West Nimar,3.787973827,4.25042306,0.32263505,4.025614847,0.427155341,10.88896661
Yadgir,4.202672989,3.432290006,0.138337852,1.913566963,0.386112203,8.906040256
Yavatmal,2.87693553,2.72209645,0.146257851,3.789004094,0.444391504,10.02962892
Yamunanagar,3.647725403,2.156344941,0.335723645,1.297974552,0.391223332,7.796521831
Arwal,3.960173404,4.009602651,0.568924474,3.454818042,0.405008118,10.37010235
Jehanabad,3.87611704,3.588674,0.495207536,1.972387892,0.41409399,8.872256328
Tapi,3.590257076,2.852015944,0.160351271,2.649853951,0.427623786,9.357284933
