LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Ogu Bolo,4,1.682101917,1,2.319326218,5,11.31932622
Okrika,3.994306801,1.485838678,1.010548284,2.802674399,4.99699295,11.79397415
Omumma,3.935816395,2.052675963,1,1.659997579,4.946983317,10.54279729
Opobo/Nkoro,4,2.824083171,1.362172485,1.89008448,5,10.89008448
Oyigbo,3.972517172,1.64584017,1.065754079,1.56205405,4.86183532,10.39640654
Port-Harcourt,4,1.021975962,1,1.018902165,5,10.01890217
Tai,4,2.233537507,1.066782984,1.558100662,4.984092969,10.54219363
Asa,3.901095327,3.400653658,1.581609405,1.468304059,3.72742841,9.096827796
Baruten,3.461236307,4.602746652,4.514366661,2.557066193,2.073877968,8.092180468
Edu,3.936537059,4.101596379,3.519049213,1.977614929,3.602577646,9.516729634
Ekiti,4.2298282,3.143644722,1.347084247,1.315347618,4.381342176,9.926517994
Ifelodun,4.173748593,3.608208527,2.171362699,1.343242916,3.659712426,9.176703935
Ilorin East,3.973852982,1.882571487,1.169201213,1.002947311,4.911263514,9.888063807
Ilorin South,4.168030711,2.273604437,1.034296912,1.008471995,4.9910159,10.16751861
Ilorin West,4.019098687,1.937513976,1.007563098,1,4.979073366,9.998172053
Irepodun,4.230308824,2.789743829,1.315167813,1.336325174,4.610220458,10.17685446
Isin,4.087975953,3.147314865,1.523444059,1.133788056,4.234919567,9.456683577
Kaiama,3.721468217,4.64246766,4.485340466,2.496643835,2.023453531,8.241565582
Moro,3.905770012,3.713785095,2.563420251,1.281885259,3.170911366,8.358566638
Offa,4.129410598,2.026476785,1.016534382,1.055538965,4.931448971,10.11639853
Oke Ero,4.194293389,3.01589156,1.296564274,1.435862206,4.329036472,9.959192067
Oyun,4.060763366,2.810368872,1.226377859,1.37029023,4.631540456,10.06259405
Pategi,3.73309042,4.054541809,4.004725077,1.859278655,3.006991432,8.599360507
