Sub-county,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Nyeri South,1.249703174,1.896106298,0.036535658,1.105355789,4.998554417,7.35361338
Bureti,2.510776818,2.765561973,0.097312684,1.60456685,4.873200884,8.988544551
Mukurweini,1.167120151,2.29205543,0.041111105,1.52968693,4.999730419,7.696537501
Cheptais,2.791870421,3.754914141,0.159284054,2.133019737,4.941729221,9.866619379
Keiyo South,1.232638795,2.654185926,0.058828049,2.494793352,4.097167039,7.824599187
Mandera North,3.896628808,4.858641938,0.646253298,4.99643183,2.577427366,11.470488
Rabai,2.55326428,3.222000975,0.179446069,2.544839837,4.882830058,9.980934175
Kitui Rural,1.351827843,3.151606336,0.153114844,1.836658133,3.526267091,6.714753067
Naivasha,1.895185241,2.431853453,0.084129994,1.694452962,4.570530238,8.160168441
Igembe South,2.459302718,2.941473729,0.158580298,1.988343331,4.802041472,9.249687521
Wundanyi,1.859464856,2.609838508,0.08535768,1.946109152,4.764864617,8.570438625
Malindi,2.459430687,3.09624993,0.196817743,3.159117802,4.563644366,10.18219285
Tetu,1.189602608,2.014551906,0.033506544,1.397654669,4.998842062,7.586099338
Thika Town,2.537798718,1.559213722,0.038332361,1.147555117,4.890401116,8.575754951
Narok East,1.827449948,3.983005762,0.123321403,2.656737517,3.528088303,8.012275768
Kiminini,2.537667204,2.716764243,0.078258344,2.790246599,4.823300033,10.15121384
Ainamoi,2.501489797,2.194253659,0.075468219,1.969414834,4.849492553,9.320397184
Kamukunji,3,1.021451202,0.022417975,2.511209926,5,10.51120993
Embakasi West,3,1,0.010269583,3.296485204,5,11.2964852
Kuresoi North,1.329010492,3.298779261,0.075149159,2.394537414,4.131895212,7.855443119
Kapseret,2.586255899,2.001459639,0.043560033,1.892867926,4.628225458,9.107349282
Makadara,3,1.002398049,0.019754946,2.654254436,5,10.65425444
Nyaribari Masaba,2.437608806,2.794383093,0.152651697,2.159068664,4.971391145,9.568068615
Ruaraka,3,1,0.006848166,1.468969838,5,9.468969838
Nyaribari Chache,2.457513421,2.263643312,0.146528318,1.660326559,4.997712005,9.115551985
Lafey,4.12752884,5,0.726519483,4.972456509,2.0374886,11.13747395
Turkana Central,2.860293853,4.373656218,0.548278097,4.478799686,2.785144971,10.12423851
Saboti,2.683429963,2.720341178,0.061817311,2.507006383,4.865632821,10.05606917
Baringo Central,1.916271131,3.299999565,0.110026689,1.463665446,4.013767867,7.393704444
Muthambi,1.231378075,2.436220719,0.072632599,1.285552793,4.915594247,7.432525114
Kisumu East,2.780549169,2.265761842,0.072272763,1.623650663,4.87520562,9.279405452
Gilgil,1.693500524,2.667486095,0.074750642,2.847690868,4.513954814,9.055146205
Gatanga,1.522448027,2.128018559,0.045430052,2.381807496,4.808446229,8.712701752
Matungu,2.582548968,3.790901983,0.133380536,1.476136327,4.822335918,8.881021214
Yatta,1.411460916,2.756623154,0.090753303,2.271670532,3.951042996,7.634174445
Seme,2.264237005,3.438486587,0.090546958,1.342207756,4.762939179,8.36938394
Mathira West,1.19740198,2.179740607,0.040487633,1.543216862,4.960417547,7.70103639
Mumias West,2.723765859,2.987880187,0.112649665,1.793123993,4.902513548,9.4194034
Matayos,2.453726819,3.27511578,0.082098066,2.079821326,4.80810949,9.341657634
Gatundu North,1.310134929,2.019140715,0.038851576,1.47471382,4.962581381,7.74743013
Kieni East,1.293294105,2.387903585,0.046372921,1.572455671,4.628347414,7.49409719
Taveta,2.100346888,3.340936244,0.176160176,2.255655146,4.145603838,8.501605872
Mwingi West,1.531105062,3.326050791,0.157182193,1.158806136,3.677450179,6.367361377
Kathiani,2.191052784,2.186582694,0.059134086,2.788581384,4.912827366,9.892461535
Kilifi North,2.368914102,3.214485354,0.219687277,2.321348302,4.763531445,9.453793849
Juja,2.220077265,1.424442277,0.04404143,1.15843677,4.844726001,8.223240037
Wajir South,4.478893057,4.937929035,0.609234133,4.016326903,2.043032536,10.5382525
Soy,2.167282189,3.221664687,0.094793236,1.53957795,4.367515097,8.074375236
Roysambu,2.979372145,1.001543163,0.017086949,2.31851442,5,10.29788657
Ainabkoi,1.793195693,2.600141205,0.049588914,3.724308981,4.039539007,9.557043681
Belgut,2.3395503,2.603858846,0.094003511,1.679768613,4.931048125,8.950367038
Matungulu,1.664964503,2.301819002,0.067562477,2.025100498,4.683619326,8.373684327
Navakholo,2.581164679,4,0.107441319,1.866713423,4.737388628,9.18526673
Embakasi Central,3,1,0.01692103,2.166763026,5,10.16676303
Nandi East,2.20565214,2.59535435,0.090470039,1.177782178,4.61036916,7.993803478
Teso South,2.312398106,3.926839669,0.109583917,2.231863904,4.362071027,8.906333037
Laisamis,2.866111862,4.994941906,0.680973409,4.104648955,1.462310968,8.433071785
Mumias East,2.847917792,3.802498707,0.131038186,2.127865377,4.981172713,9.956955882
Buuri,1.435407234,2.585539939,0.081626601,2.507251391,4.563590174,8.506248799
Kitui West,1.717577965,2.667942659,0.150850207,1.559288131,4.219236754,7.49610285
Nambale,2.101588023,4.028287254,0.103833182,1.864045928,4.458577727,8.424211678
